央视▪全网,#genre#
贵州卫视,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=41&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
河北卫视,http://39.134.168.91/PLTV/1/224/3221225624/index.m3u8
吉林卫视,http://39.134.168.91/PLTV/1/224/3221225586/index.m3u8
山西卫视,http://39.134.168.91/PLTV/1/224/3221225646/index.m3u8
陕西卫视,http://39.134.168.91/PLTV/1/224/3221225628/index.m3u8
厦门卫视,http://39.134.168.91/PLTV/1/224/3221225640/index.m3u8
四川卫视,http://39.134.168.91/PLTV/1/224/3221225592/index.m3u8
云南卫视,http://39.134.168.91/PLTV/1/224/3221225632/index.m3u8
海南卫视,http://39.134.168.91/PLTV/1/224/3221225620/index.m3u8
宁夏卫视,http://39.134.168.91/PLTV/1/224/3221225638/index.m3u8
青海卫视,http://39.134.168.91/PLTV/1/224/3221225622/index.m3u8
内蒙卫视,http://39.134.168.91/PLTV/1/224/3221225626/index.m3u8
西藏卫视,http://39.134.168.91/PLTV/1/224/3221225648/index.m3u8
新疆卫视,http://223.110.247.161:6610/gitv/live1/G_XINJIANG/G_XINJIANG
卫视▪专线,#genre#
湖南卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=hunws 
浙江卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=zjws 
安徽卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=ahws
江苏卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=jsws
山东卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=sdws 
湖北卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=hubws 
江西卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=jxws 
四川卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=scws 
北京卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=bjws
天津卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=tjws
河南卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=henws
东南卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=dnws
河北卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=hebws
兵团卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=btws
南方卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/yfy.php?id=58
山西卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/yfy.php?id=54
海南卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/yfy.php?id=62
深圳卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=szws
东方卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=dfws
广西卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=gxws 
吉林卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=jlws
辽宁卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=lnws 
广东卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=gdws
重庆卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cqws
陕西卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=s1xws
云南卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=ynws
龙江卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=hljws 
贵州卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=gzws
甘肃卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=gsws
宁夏卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=nxws
内蒙卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=nmgws
青海卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/yfy.php?id=60
新疆卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=xjws
西藏卫视,http://tyzbcdn.chxjon.cn/iptv/qq2383132354/gzyx.php?id=xzws
地方▪全网,#genre#
浙江 Ⅰ 浙江新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8?k=4812130c6c3788cf5c6a6ba64a47678c&t=1577153743
